"prodiLabelNim","prodiNama","fakNamaResmi"
"011",ILMU HUKUM,HUKUM
"012",MAGISTER ILMU HUKUM,HUKUM
"021",MANAJEMEN,EKONOMI DAN BISNIS
"022",AKUNTANSI,EKONOMI DAN BISNIS
"023",EKONOMI PEMBANGUNAN,EKONOMI DAN BISNIS
"024",D3 AKUNTANSI,EKONOMI DAN BISNIS
"025",MAGISTER AKUNTANSI,EKONOMI DAN BISNIS
"026",MAGISTER MANAJEMEN,EKONOMI DAN BISNIS
"027",D3 ENTERPRENEURSHIP,EKONOMI DAN BISNIS
"028",MAGISTER ILMU EKONOMI,EKONOMI DAN BISNIS
"031",AGROTEKNOLOGI,PERTANIAN
"032",AGRIBISNIS,PERTANIAN
"033",TEKNOLOGI INDUSTRI PERTANIAN,PERTANIAN
"034",ILMU KELAUTAN,PERTANIAN
"035",MANAJEMEN SUMBERDAYA PERAIRAN,PERTANIAN
"036",MAGISTER PENGELOLAAN SUMBER DAYA ALAM,PERTANIAN
"041",TEKNIK INFORMATIKA,TEKNIK
"042",TEKNIK INDUSTRI,TEKNIK
"043",TEKNIK ELEKTRO,TEKNIK
"044",SISTEM INFORMASI,TEKNIK
"045",MANAJEMEN INFORMATIKA,TEKNIK
"046",MEKATRONIKA,TEKNIK
"047",TEKNIK MULTIMEDIA DAN JARINGAN,TEKNIK
"048",TEKNIK MESIN,TEKNIK
"049",TEKNIK MEKATRONIKA,TEKNIK
"051",SASTRA INGGRIS,ILMU SOSIAL DAN ILMU BUDAYA
"052",SOSIOLOGI,ILMU SOSIAL DAN ILMU BUDAYA
"053",ILMU KOMUNIKASI,ILMU SOSIAL DAN ILMU BUDAYA
"054",PSIKOLOGI,ILMU SOSIAL DAN ILMU BUDAYA
"061",PGSD,ILMU PENDIDIKAN
"062",PENDIDIKAN BHS DAN SASTRA INDONESIA,ILMU PENDIDIKAN
"063",PENDIDIKAN INFORMATIKA,ILMU PENDIDIKAN
"064",PENDIDIKAN IPA,ILMU PENDIDIKAN
"065",PGPAUD,ILMU PENDIDIKAN
"071",HUKUM BISNIS SYARIAH,KEISLAMAN
"072",EKONOMI SYARIAH,KEISLAMAN
