suara_presma_sah,alasan_suara_presma_tidak_sah,suara_dpm_sah,alasan_suara_dpm_tidak_sah,waktu,dalam_waktu_pemungutan,nim_hashed,jenis_email,persetujuan,input_fakultas,fakultas_tercatat,terdaftar,fakultas_benar,input_verifikasi_hashed,sumber_verifikasi_hashed,verified,dapil_sesuai,pilihan_presma,pilihan_dpm_fh,pilihan_dpm_feb,pilihan_dpm_fp,pilihan_dpm_ft,pilihan_dpm_fisib,pilihan_dpm_fip,pilihan_dpm_fkis
true,,true,,2020-12-18 12:34:41 +0700 WIB,true,20d1b1f9ea618959e1d66011e34e8cf8,student,Setuju,FKis,FKis,true,true,a0b26cc3ffe1888a3387aedc31fb66ed,a0b26cc3ffe1888a3387aedc31fb66ed,true,true,Pasangan calon nomor urut 2,,,,,,,Calon DPM nomor urut 4
true,,true,,2020-12-18 08:53:53 +0700 WIB,true,b27032fdabf349aa9b0f19be5bed0ad9,student,Setuju,FEB,FEB,true,true,94d5b36b63f275be5ebfb1dd1f82f26a,94d5b36b63f275be5ebfb1dd1f82f26a,true,true,Pasangan calon nomor urut 1,,Calon DPM nomor urut 4,,,,,
true,,true,,2020-12-18 12:41:12 +0700 WIB,true,b48880137364c9de79ed838dfa2e8e7b,student,Setuju,FT,FT,true,true,4bf0d940aa319c792b2447fb43b9b1a9,4bf0d940aa319c792b2447fb43b9b1a9,true,true,Pasangan calon nomor urut 3,,,,Calon DPM nomor urut 1,,,
true,,true,,2020-12-18 08:20:36 +0700 WIB,true,0124b1061502f50c623e9c5cddc4117a,student,Setuju,FISIB,FISIB,true,true,854b15c2ec135d3b9689ff0bd0edfd7f,854b15c2ec135d3b9689ff0bd0edfd7f,true,true,Pasangan calon nomor urut 3,,,,,Calon DPM nomor urut 2,,
true,,true,,2020-12-18 10:17:00 +0700 WIB,true,fd011d64b3b001b25aeb7a07a769d7df,student,Setuju,FT,FT,true,true,1fcfc5d9a4768537252b811cae55084c,1fcfc5d9a4768537252b811cae55084c,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 4,,,
true,,true,,2020-12-18 11:51:47 +0700 WIB,true,e1538e90cd9fd67dac521223fe264126,student,Setuju,FT,FT,true,true,6e6da4a11aef168fd8a499c0521bae7f,6e6da4a11aef168fd8a499c0521bae7f,true,true,Pasangan calon nomor urut 1,,,,Calon DPM nomor urut 3,,,
true,,true,,2020-12-18 11:46:27 +0700 WIB,true,440d51b23af010d5840177297d087881,student,Setuju,FEB,FEB,true,true,4fc41070a42500f98329aef4f4be94e9,4fc41070a42500f98329aef4f4be94e9,true,true,Pasangan calon nomor urut 3,,Calon DPM nomor urut 4,,,,,
true,,true,,2020-12-18 08:25:33 +0700 WIB,true,0b537e8f34e10a922d0c2b27fb3fbb23,student,Setuju,FIP,FIP,true,true,a0b26cc3ffe1888a3387aedc31fb66ed,a0b26cc3ffe1888a3387aedc31fb66ed,true,true,Pasangan calon nomor urut 1,,,,,,Calon DPM nomor urut 1,
true,,true,,2020-12-18 12:34:19 +0700 WIB,true,4eb572c15ad71b9a19c513463bed5d02,student,Setuju,FKis,FKis,true,true,6e6da4a11aef168fd8a499c0521bae7f,6e6da4a11aef168fd8a499c0521bae7f,true,true,Pasangan calon nomor urut 2,,,,,,,Calon DPM nomor urut 4
true,,true,,2020-12-18 09:59:49 +0700 WIB,true,f3b8438091e12a22b2ebbcfeed74336b,student,Setuju,FEB,FEB,true,true,760bf49d02fd4b9004743e8fb12e5d08,760bf49d02fd4b9004743e8fb12e5d08,true,true,Pasangan calon nomor urut 2,,Calon DPM nomor urut 4,,,,,
